id,name,source,rarity,acquired_runs,wins,win_rate,ci_low,ci_high,baseline_delta,median_floor,rarity_rank,rarity_pool,a0_runs,a0_wins,a0_win_rate,a0_rarity_rank,a0_rarity_pool,a10_runs,a10_wins,a10_win_rate,a10_rarity_rank,a10_rarity_pool
LEAD_PAPERWEIGHT,铅制镇纸,原版,Ancient,112,69,0.6160714285714286,0.5235748200728699,0.7008698672151611,0.04669863465342694,1.0,,,47,27,0.574468085106383,,,27,14,0.5185185185185185,,
FISHING_ROD,钓鱼竿,原版,Ancient,152,93,0.6118421052631579,0.5325234060918937,0.6856470362107494,0.04246931134515619,1.0,,,71,39,0.5492957746478874,,,26,12,0.46153846153846156,,
PHIAL_HOLSTER,药瓶皮套,原版,Ancient,110,67,0.6090909090909091,0.5156993628097574,0.6951201422160979,0.039718115172907464,1.0,,,44,24,0.5454545454545454,,,17,8,0.47058823529411764,,
STONE_HUMIDIFIER,石炉加湿器,原版,Ancient,73,44,0.6027397260273972,0.4880741402294003,0.7071329814235315,0.033366932109395564,1,,,38,22,0.5789473684210527,,,9,6,0.6666666666666666,,
SNECKO_EYE,异蛇之眼,原版,Ancient,5,3,0.6,0.2307242812760128,0.882379225767352,0.030627206081998315,34,,,0,0,,,,2,1,0.5,,
ALCHEMICAL_COFFER,炼金箱,原版,Ancient,10,6,0.6,0.31267376973365824,0.8318196702937638,0.030627206081998315,18.0,,,5,2,0.4,,,1,1,1.0,,
SMALL_CAPSULE,小型扭蛋,原版,Ancient,87,51,0.5862068965517241,0.4812159672619939,0.6839068763683301,0.016834102633722425,1,,,41,18,0.43902439024390244,,,11,6,0.5454545454545454,,
DOWSING_ROD,寻龙尺,原版,Ancient,111,65,0.5855855855855856,0.4925800538625369,0.672865423712468,0.016212791667583937,1,,,42,22,0.5238095238095238,,,22,13,0.5909090909090909,,
GLASS_EYE,玻璃眼珠,原版,Ancient,24,14,0.5833333333333334,0.3883466586522876,0.7553239739018824,0.013960539415331708,18.0,,,8,3,0.375,,,6,4,0.6666666666666666,,
KALEIDOSCOPE,万花筒,原版,Ancient,91,53,0.5824175824175825,0.47977166187867143,0.6783870187923923,0.013044788499580795,1,,,36,16,0.4444444444444444,,,25,15,0.6,,
NUTRITIOUS_OYSTER,营养牡蛎,原版,Ancient,70,40,0.5714285714285714,0.45477836559850204,0.6806469112000313,0.002055777510569734,1.0,,,30,17,0.5666666666666667,,,11,6,0.5454545454545454,,
NEOWS_TORMENT,涅奥的苦痛,原版,Ancient,69,39,0.5652173913043478,0.44788403615274297,0.6756719736486849,-0.00415540261365388,1,,,27,12,0.4444444444444444,,,10,6,0.6,,
GOLDEN_PEARL,金色珍珠,原版,Ancient,179,101,0.5642458100558659,0.49101035665171616,0.6347816827924411,-0.0051269838621357255,1,,,72,33,0.4583333333333333,,,33,18,0.5454545454545454,,
LOST_COFFER,失物盒,原版,Ancient,133,75,0.5639097744360902,0.47900947245434217,0.6452218836456789,-0.005463019481911413,1,,,52,25,0.4807692307692308,,,31,15,0.4838709677419355,,
BOOMING_CONCH,轰鸣海螺,原版,Ancient,141,79,0.5602836879432624,0.47783544408098877,0.639534265796382,-0.00908910597473922,1,,,66,25,0.3787878787878788,,,22,18,0.8181818181818182,,
PRECARIOUS_SHEARS,松动羊毛剪,原版,Ancient,159,88,0.5534591194968553,0.4758323313246307,0.6285636874970798,-0.01591367442114633,1,,,55,31,0.5636363636363636,,,39,19,0.48717948717948717,,
PAELS_EYE,佩尔之眼,原版,Ancient,29,16,0.5517241379310345,0.37547963210970914,0.7158683197696281,-0.017648655986967188,18,,,10,3,0.3,,,5,4,0.8,,
LEAFY_POULTICE,树叶药膏,原版,Ancient,174,96,0.5517241379310345,0.4775071062827123,0.6237066383601959,-0.017648655986967188,1.0,,,54,26,0.48148148148148145,,,45,24,0.5333333333333333,,
